form,rating,model_name,language,cluster_type,edge_type,weighting,tails
K R,-12.785,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
K W,-13.0695,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
L M,-21.904,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
L N,-22.002000000000002,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
L T,-21.3955,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
M L,-19.3755,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
M R,-18.8915,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
N L,-19.941,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
P K,-19.438,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
P L,-12.531500000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
P R,-13.2005,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
P W,-15.691500000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
R D,-22.0435,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
R G,-22.269,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
R L,-20.6385,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
R N,-20.9645,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
S M,-12.340499999999999,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
S N,-11.909500000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
S W,-13.002500000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
SH L,-15.543,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
SH M,-19.777,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
SH N,-19.679000000000002,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
SH R,-14.0745,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
SH W,-15.3625,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
T L,-15.1055,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
T R,-12.7955,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
T W,-13.0475,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
TH W,-13.3295,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
V L,-20.2795,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
V R,-20.205,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
V W,-20.0885,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
Z R,-19.639499999999998,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
B L,-10.727,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
B R,-10.257,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
B W,-12.597,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
D G,-21.784,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
D N,-18.283,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
D R,-10.393,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
D W,-10.898,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
F L,-10.727,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
F N,-17.146,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
F R,-10.257,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
F W,-12.597,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
G L,-10.959,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
G R,-10.008,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
G W,-10.731,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
K L,-10.111,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
K M,-17.377,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
K R,-9.387,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
K W,-10.107,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
L M,-20.178,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
L N,-20.178,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
L T,-20.246,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
M L,-16.946,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
M R,-15.465,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
N L,-16.946,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
P K,-18.525,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
P L,-10.103,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
P R,-9.741,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
P W,-12.631,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
R D,-21.449,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
R G,-21.401,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
R L,-17.58,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
R N,-19.77,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
S M,-10.614,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
S N,-10.614,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
S W,-9.942,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
SH L,-12.548,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
SH M,-17.987,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
SH N,-17.987,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
SH R,-10.809,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
SH W,-12.931,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
T L,-12.145,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
T R,-9.83,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
T W,-10.516,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
TH W,-10.898,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
V L,-17.85,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
V R,-16.807,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
V W,-17.062,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
Z R,-16.807,English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE
B L,-13.535499999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
B R,-12.504,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
B W,-14.314499999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
D G,-18.627000000000002,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
D N,-18.582,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
D R,-15.829,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
D W,-16.2695,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
F L,-13.535499999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
F N,-18.482,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
F R,-12.369499999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
F W,-14.6565,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
G L,-13.418,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
G R,-12.504,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
G W,-14.494,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
K L,-13.2835,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
K M,-17.2705,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
K R,-12.6665,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
K W,-14.494,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
L M,-18.494,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
L N,-19.4725,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
L T,-19.4725,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
M L,-15.441500000000001,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
M R,-15.784,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
N L,-13.5805,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
P K,-18.1845,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
P L,-13.2835,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
P R,-12.621500000000001,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
P W,-14.6115,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
R D,-19.7885,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
R G,-19.708,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
R L,-17.3305,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
R N,-19.5285,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
S M,-14.475999999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
S N,-12.5625,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
S W,-12.721499999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
SH L,-14.315999999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
SH M,-18.096,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
SH N,-19.055,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
SH R,-13.284,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
SH W,-15.0945,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
T L,-13.418,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
T R,-12.487,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
T W,-14.314499999999999,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
TH W,-14.3595,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
V L,-15.441500000000001,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
V R,-15.991500000000002,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
V W,-16.107,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
Z R,-15.694500000000001,English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE
B L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
B R,-8.747,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
B W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
D G,-15.948,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
D N,-15.948,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
D R,-12.072,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
D W,-12.785,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
F L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
F N,-15.641,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
F R,-8.747,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
F W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
G L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
G R,-8.747,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
G W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
K L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
K M,-14.491,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
K R,-8.747,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
K W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
L M,-15.58,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
L N,-16.676,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
L T,-16.676,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
M L,-12.054,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
M R,-12.072,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
N L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
P K,-15.641,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
P L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
P R,-8.747,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
P W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
R D,-17.054,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
R G,-16.984,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
R L,-13.691,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
R N,-16.984,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
S M,-11.562,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
S N,-10.063,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
S W,-9.237,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
SH L,-10.632,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
SH M,-15.227,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
SH N,-16.376,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
SH R,-9.482,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
SH W,-11.862,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
T L,-9.896,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
T R,-8.747,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
T W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
TH W,-11.127,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
V L,-12.054,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
V R,-12.072,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
V W,-12.785,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
Z R,-12.072,English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE
B L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
B R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
B W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
D G,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
D N,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
D R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
D W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
F L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
F N,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
F R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
F W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
G L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
G R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
G W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
K L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
K M,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
K R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
K W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
L M,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
L N,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
L T,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
M L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
M R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
N L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
P K,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
P L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
P R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
P W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
R D,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
R G,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
R L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
R N,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
S M,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
S N,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
S W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
SH L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
SH M,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
SH N,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
SH R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
SH W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
T L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
T R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
T W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
TH W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
V L,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
V R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
V W,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
Z R,0,English_SC_COV_onset_types_1,English,SC,COV,att,TRUE
B L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
B R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
B W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
D G,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
D N,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
D R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
D W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
F L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
F N,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
F R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
F W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
G L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
G R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
G W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
K L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
K M,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
K R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
K W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
L M,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
L N,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
L T,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
M L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
M R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
N L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
P K,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
P L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
P R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
P W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
R D,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
R G,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
R L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
R N,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
S M,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
S N,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
S W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
SH L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
SH M,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
SH N,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
SH R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
SH W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
T L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
T R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
T W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
TH W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
V L,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
V R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
V W,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
Z R,0,English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE
B L,-16.239,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
B R,-15.453,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
B W,-16.843,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
D G,-23.066,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
D N,-21.947499999999998,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
D R,-18.411,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
D W,-19.795,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
F L,-16.232,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
F N,-19.7125,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
F R,-15.0155,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
F W,-17.7495,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
G L,-16.032,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
G R,-15.630500000000001,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
G W,-17.500500000000002,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
K L,-14.777000000000001,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
K M,-18.999499999999998,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
K R,-14.64,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
K W,-15.6995,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
L M,-23.5835,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
L N,-23.119999999999997,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
L T,-22.561999999999998,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
M L,-19.0045,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
M R,-18.362000000000002,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
N L,-19.9615,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
P K,-20.881,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
P L,-15.6945,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
P R,-14.492,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
P W,-17.0535,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
R D,-22.060000000000002,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
R G,-21.9065,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
R L,-19.802,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
R N,-21.044,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
S M,-19.4925,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
S N,-15.8825,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
S W,-16.4545,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
SH L,-19.7945,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
SH M,-23.4195,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
SH N,-23.085,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
SH R,-17.1695,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
SH W,-18.9,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
T L,-18.5355,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
T R,-15.4665,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
T W,-17.057000000000002,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
TH W,-17.810000000000002,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
V L,-19.0045,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
V R,-18.8375,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
V W,-19.552500000000002,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
Z R,-17.9735,English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE
B L,-11.439,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
B R,-10.613,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
B W,-13.421,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
D G,-19.536,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
D N,-18.353,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
D R,-13.679,English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE
